	sourceLang	targetLang	F1	precision	recall
0	fa	en	0.7528398036956787	0.7569923400878906	0.7482447624206543
1	ps	en	0.5942139625549316	0.5660406947135925	0.622600257396698
2	es-419	en	0.8361932039260864	0.8351168632507324	0.8369846940040588
3	prs	en	0.664236843585968	0.6584562063217163	0.6694241166114807
4	zh	en	0.7373133897781372	0.7409585118293762	0.7332273125648499
5	pt-BR	en	0.8434217572212219	0.8435253500938416	0.842998206615448
6	zu	en	0.7178633809089661	0.7198588252067566	0.7152617573738098
7	ms	en	0.815127968788147	0.8166608810424805	0.8131853342056274
8	so	en	0.3793115019798279	0.3784509003162384	0.3798675835132599
9	sw	en	0.7281845808029175	0.7305450439453125	0.7252895832061768
10	ru	en	0.7373478412628174	0.7261339426040649	0.7482275366783142
11	ne	en	0.7879409790039062	0.7914769053459167	0.7839890122413635
12	id	en	0.8299940228462219	0.8335210084915161	0.8261141777038574
13	ar	en	0.7660605311393738	0.7665279507637024	0.7651862502098083
14	ur	en	0.7103691101074219	0.7167650461196899	0.7034482955932617
15	bn	en	0.7748296856880188	0.7766056060791016	0.7726496458053589
16	my	en	0.5944216251373291	0.6005731821060181	0.5874994397163391
17	ta	en	0.6980841755867004	0.6832596063613892	0.7126337885856628
18	am	en	0.5900283455848694	0.5971645712852478	0.582231879234314
19	mr	en	0.7302383780479431	0.7364488244056702	0.7235612273216248
20	fr	en	0.7077975273132324	0.7144462466239929	0.7007921934127808
21	km	en	0.6097508072853088	0.6077619791030884	0.6114562749862671
22	hi	en	0.8156456351280212	0.818031370639801	0.8128835558891296
23	ti-er	en	0.5233256816864014	0.5406637191772461	0.5053037405014038
24	ti	en	0.5687273144721985	0.5856007933616638	0.5512590408325195
