	sourceLang	targetLang	BLEUscore	precisions	brevityPenalty	ratio
0	en	am	13.009756552820319	[32.69230769230769, 17.02127659574468, 9.523809523809524, 5.405405405405405]	1.0	1.4857142857142858
1	en	ar	18.85481412261309	[38.46153846153846, 21.27659574468085, 14.285714285714286, 10.81081081081081]	1.0	1.5757575757575757
2	en	bn	11.102876059380428	[42.592592592592595, 20.408163265306122, 6.818181818181818, 2.5641025641025643]	1.0	1.4210526315789473
3	en	es-419	19.247109481525314	[39.285714285714285, 23.529411764705884, 15.217391304347826, 9.75609756097561]	1.0	1.2727272727272727
4	en	fa	20.429536653042245	[49.12280701754386, 25.0, 14.893617021276595, 9.523809523809524]	1.0	1.14
5	en	fr	24.039465802283026	[45.45454545454545, 26.229508196721312, 17.857142857142858, 15.686274509803921]	1.0	1.375
6	en	ha	5.457478701888	[25.757575757575758, 9.836065573770492, 3.5714285714285716, 0.9803921568627451]	1.0	1.434782608695652
7	en	hi	27.852632280155667	[52.17391304347826, 32.8125, 23.728813559322035, 14.814814814814815]	1.0	1.2545454545454546
8	en	id	23.392150843220048	[52.94117647058823, 34.78260869565217, 19.51219512195122, 8.333333333333334]	1.0	1.275
9	en	km	1.5048676146086464	[5.555555555555555, 1.6129032258064515, 0.9615384615384616, 0.5952380952380952]	1.0	4.0
10	en	ln	9.68207644479143	[37.096774193548384, 19.29824561403509, 5.769230769230769, 2.127659574468085]	1.0	1.55
11	en	mr	11.744963049084577	[34.69387755102041, 18.181818181818183, 10.256410256410257, 2.9411764705882355]	1.0	1.2564102564102564
12	en	ms	30.213753973567677	[50.0, 33.333333333333336, 25.0, 20.0]	1.0	1.1904761904761905
13	en	my	1.9304869754804486	[6.666666666666667, 2.0, 1.25, 0.8333333333333334]	1.0	1.1111111111111112
14	en	ne	5.474763017395166	[32.758620689655174, 11.320754716981131, 2.0833333333333335, 1.1627906976744187]	1.0	1.5675675675675675
15	en	prs	9.116052472005695	[35.9375, 16.949152542372882, 5.555555555555555, 2.0408163265306123]	1.0	1.391304347826087
16	en	ps	15.964254816683297	[37.735849056603776, 18.75, 11.627906976744185, 7.894736842105263]	1.0	1.0192307692307692
17	en	pt-BR	26.135711339411863	[45.6140350877193, 28.846153846153847, 21.27659574468085, 16.666666666666668]	1.0	1.2391304347826086
18	en	ru	24.031909078924397	[44.26229508196721, 32.142857142857146, 21.568627450980394, 10.869565217391305]	1.0	1.2448979591836735
19	en	so	8.881501211769411	[36.666666666666664, 12.727272727272727, 6.0, 2.2222222222222223]	1.0	1.5
20	en	sw	14.220056675040878	[41.81818181818182, 22.0, 8.88888888888889, 5.0]	1.0	1.1224489795918366
21	en	ta	13.220158073981581	[38.18181818181818, 18.0, 8.88888888888889, 5.0]	1.0	1.4473684210526316
22	en	ti-er	1.7827531042796254	[7.2727272727272725, 2.0, 1.1111111111111112, 0.625]	1.0	1.4102564102564104
23	en	ti	0.9864703138979417	[5.454545454545454, 1.0, 0.5555555555555556, 0.3125]	1.0	1.4473684210526316
24	en	ur	21.025022633105277	[47.540983606557376, 26.785714285714285, 17.647058823529413, 8.695652173913043]	1.0	1.196078431372549
25	en	zh	3.7476347888796684	[30.357142857142858, 9.803921568627452, 1.0869565217391304, 0.6097560975609756]	1.0	1.5135135135135136
26	en	zu	11.494506444201914	[36.170212765957444, 19.047619047619047, 8.108108108108109, 3.125]	1.0	1.46875
27	en	ti-er	1.7827531042796254	[7.2727272727272725, 2.0, 1.1111111111111112, 0.625]	1.0	1.4102564102564104
28	en	ti	2.183417721423906	[16.363636363636363, 2.0, 1.1111111111111112, 0.625]	1.0	1.3095238095238095
